,Magnet-sensor distance [cm],Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB],Temperature[C],"Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]"
37481,37,0.2,-0.37,-0.07,6,-11,-2,19.54,2
37482,37,-0.03,-0.41,-0.14,-1,-12,-4,19.74,2
37483,37,0.2,-0.47,-0.1,6,-14,-3,19.8,2
37484,37,0.14,-0.14,-0.07,4,-4,-2,19.54,2
37485,37,0.14,-0.34,-0.03,4,-10,-1,19.61,2
37486,37,0.0,-0.44,0.0,0,-13,0,19.74,2
37487,37,0.2,-0.34,-0.07,6,-10,-2,19.8,2
37488,37,0.14,-0.41,-0.14,4,-12,-4,19.61,2
37489,37,-0.03,-0.31,0.0,-1,-9,0,19.8,2
37490,37,0.07,-0.44,-0.03,2,-13,-1,19.54,2
37491,37,0.07,-0.34,-0.17,2,-10,-5,19.54,2
37492,37,0.1,-0.44,-0.03,3,-13,-1,19.47,2
37493,37,0.14,-0.37,0.0,4,-11,0,19.61,2
37494,37,0.14,-0.41,0.0,4,-12,0,19.8,2
37495,37,0.0,-0.31,-0.24,0,-9,-7,19.67,2
37496,37,0.2,-0.37,-0.14,6,-11,-4,19.74,2
37497,37,0.1,-0.47,-0.1,3,-14,-3,19.74,2
37498,37,0.07,-0.37,-0.03,2,-11,-1,19.61,2
37499,37,0.0,-0.34,-0.1,0,-10,-3,19.54,2
37500,37,0.07,-0.51,-0.07,2,-15,-2,19.54,2
37501,37,0.1,-0.31,-0.03,3,-9,-1,19.54,2
37502,37,0.17,-0.44,0.0,5,-13,0,19.67,2
37503,37,0.07,-0.41,-0.07,2,-12,-2,19.54,2
37504,37,0.07,-0.31,-0.1,2,-9,-3,19.67,2
37505,37,0.14,-0.41,0.0,4,-12,0,19.74,2
37506,37,0.1,-0.37,0.0,3,-11,0,19.8,2
37507,37,0.14,-0.41,-0.1,4,-12,-3,19.54,2
37508,37,0.17,-0.34,-0.14,5,-10,-4,19.41,2
37509,37,0.2,-0.31,-0.07,6,-9,-2,19.74,2
37510,37,0.07,-0.37,0.0,2,-11,0,19.61,2
37511,37,0.1,-0.27,-0.1,3,-8,-3,19.8,2
37512,37,0.2,-0.44,-0.14,6,-13,-4,19.61,2
37513,37,0.0,-0.44,-0.07,0,-13,-2,19.54,2
37514,37,0.14,-0.37,-0.1,4,-11,-3,19.54,2
37515,37,0.07,-0.37,-0.07,2,-11,-2,19.74,2
37516,37,0.1,-0.37,-0.07,3,-11,-2,19.54,2
37517,37,0.14,-0.41,-0.03,4,-12,-1,19.8,2
37518,37,0.14,-0.37,0.0,4,-11,0,19.61,2
37519,37,0.1,-0.44,-0.07,3,-13,-2,19.67,2
37520,37,0.1,-0.37,-0.14,3,-11,-4,19.61,2
37521,37,0.1,-0.44,-0.03,3,-13,-1,19.87,2
37522,37,0.0,-0.47,-0.17,0,-14,-5,19.67,2
37523,37,0.0,-0.37,-0.1,0,-11,-3,19.8,2
37524,37,0.03,-0.37,0.0,1,-11,0,19.74,2
37525,37,0.17,-0.2,-0.07,5,-6,-2,19.74,2
37526,37,0.27,-0.37,-0.07,8,-11,-2,19.41,2
37527,37,0.1,-0.47,-0.1,3,-14,-3,19.74,2
37528,37,-0.1,-0.37,-0.14,-3,-11,-4,19.47,2
37529,37,0.03,-0.44,-0.1,1,-13,-3,19.34,2
37530,37,0.17,-0.41,-0.1,5,-12,-3,19.67,2
37531,37,0.03,-0.34,-0.14,1,-10,-4,19.67,2
37532,37,0.17,-0.37,-0.03,5,-11,-1,19.67,2
37533,37,0.17,-0.51,-0.1,5,-15,-3,19.41,2
37534,37,0.03,-0.47,-0.07,1,-14,-2,19.67,2
37535,37,0.0,-0.47,-0.07,0,-14,-2,19.67,2
37536,37,0.17,-0.64,-0.07,5,-19,-2,19.87,2
37537,37,-0.03,-0.37,-0.07,-1,-11,-2,19.47,2
37538,37,0.2,-0.34,0.0,6,-10,0,19.54,2
37539,37,0.07,-0.41,-0.14,2,-12,-4,19.74,2
37540,37,0.03,-0.37,-0.1,1,-11,-3,19.67,2
37541,37,0.2,-0.44,-0.03,6,-13,-1,19.87,2
37542,37,0.2,-0.44,-0.03,6,-13,-1,19.67,2
37543,37,0.14,-0.37,0.0,4,-11,0,19.67,2
37544,37,0.2,-0.41,0.0,6,-12,0,19.34,2
37545,37,0.1,-0.37,-0.03,3,-11,-1,19.61,2
37546,37,0.0,-0.34,-0.1,0,-10,-3,19.87,2
37547,37,0.0,-0.47,-0.07,0,-14,-2,19.8,2
37548,37,0.03,-0.44,-0.14,1,-13,-4,19.54,2
37549,37,0.14,-0.41,0.0,4,-12,0,19.87,2
37550,37,0.1,-0.47,-0.07,3,-14,-2,19.74,2
37551,37,0.07,-0.34,-0.07,2,-10,-2,19.54,2
37552,37,0.03,-0.47,-0.03,1,-14,-1,19.47,2
37553,37,0.07,-0.51,-0.03,2,-15,-1,19.61,2
37554,37,0.07,-0.41,-0.14,2,-12,-4,19.87,2
37555,37,0.14,-0.41,-0.1,4,-12,-3,19.67,2
37556,37,0.07,-0.44,-0.14,2,-13,-4,19.8,2
37557,37,0.1,-0.34,-0.07,3,-10,-2,19.61,2
37558,37,0.1,-0.34,-0.03,3,-10,-1,19.47,2
37559,37,0.03,-0.37,-0.1,1,-11,-3,19.87,2
37560,37,0.0,-0.58,-0.03,0,-17,-1,19.61,2
37561,37,0.24,-0.24,-0.03,7,-7,-1,19.74,2
37562,37,0.1,-0.27,-0.1,3,-8,-3,19.61,2
37563,37,0.1,-0.44,-0.07,3,-13,-2,19.74,2
37564,37,0.17,-0.41,0.03,5,-12,1,19.8,2
37565,37,0.2,-0.37,-0.07,6,-11,-2,19.54,2
37566,37,0.07,-0.31,0.0,2,-9,0,19.61,2
37567,37,0.07,-0.47,-0.07,2,-14,-2,19.74,2
37568,37,0.1,-0.41,-0.14,3,-12,-4,19.61,2
37569,37,0.14,-0.47,0.0,4,-14,0,19.74,2
37570,37,0.07,-0.47,0.03,2,-14,1,19.54,2
37571,37,0.17,-0.34,-0.1,5,-10,-3,19.47,2
37572,37,0.17,-0.44,-0.07,5,-13,-2,19.8,2
37573,37,0.17,-0.31,-0.07,5,-9,-2,19.8,2
37574,37,-0.03,-0.44,-0.03,-1,-13,-1,19.74,2
37575,37,0.14,-0.41,-0.07,4,-12,-2,19.74,2
37576,37,0.1,-0.37,-0.1,3,-11,-3,19.61,2
37577,37,0.0,-0.54,-0.1,0,-16,-3,19.54,2
37578,37,0.07,-0.24,-0.14,2,-7,-4,19.47,2
37579,37,0.17,-0.34,-0.07,5,-10,-2,19.74,2
37580,37,0.03,-0.41,-0.14,1,-12,-4,19.61,2
37581,37,-0.24,-0.37,-0.03,-7,-11,-1,19.8,2
37582,37,0.41,-0.37,-0.17,12,-11,-5,19.47,2
37583,37,0.1,-0.34,-0.07,3,-10,-2,19.67,2
37584,37,-0.03,-0.37,-0.03,-1,-11,-1,19.74,2
37585,37,0.14,-0.41,-0.03,4,-12,-1,19.67,2
37586,37,0.07,-0.71,-0.07,2,-21,-2,19.41,2
37587,37,0.14,-0.37,-0.1,4,-11,-3,19.8,2
37588,37,0.03,-0.41,-0.17,1,-12,-5,19.47,2
37589,37,0.14,-0.47,-0.03,4,-14,-1,19.67,2
37590,37,0.17,-0.51,-0.03,5,-15,-1,19.47,2
37591,37,0.24,-0.44,-0.07,7,-13,-2,19.54,2
37592,37,0.03,-0.41,-0.07,1,-12,-2,19.34,2
37593,37,0.07,-0.34,-0.07,2,-10,-2,19.54,2
37594,37,0.2,-0.37,-0.03,6,-11,-1,19.61,2
37595,37,0.07,-0.37,-0.03,2,-11,-1,19.67,2
37596,37,0.03,-0.34,-0.1,1,-10,-3,19.28,2
37597,37,0.1,-0.31,-0.03,3,-9,-1,19.74,2
37598,37,-0.03,-0.34,-0.14,-1,-10,-4,19.67,2
